clause_number,clause_text,full_clause_text,risk_classification,confidence_percentage,risk_score
1,Sample Service Agreement This Agreement is made between Party A (“Service Provider”) and Party B (“Client”) as of the Effective Date. 1,Sample Service Agreement This Agreement is made between Party A (“Service Provider”) and Party B (“Client”) as of the Effective Date. 1,non-risky,99.64,0
2,Governing Law (Standard) This Agreement shall be governed by and construed in accordance with the laws of the State of New York. 2,Governing Law (Standard) This Agreement shall be governed by and construed in accordance with the laws of the State of New York. 2,non-risky,99.78,0
3,Confidentiality (Standard) Both parties agree to maintain the confidentiality of any proprietary information shared during the term of this Agreement. 3,Confidentiality (Standard) Both parties agree to maintain the confidentiality of any proprietary information shared during the term of this Agreement. 3,non-risky,99.62,0
4,Entire Agreement (Standard) This document represents the entire agreement between the parties and supersedes any prior understandings or agreements. 4,Entire Agreement (Standard) This document represents the entire agreement between the parties and supersedes any prior understandings or agreements. 4,non-risky,99.74,0
5,Termination with Unilateral Notice (Risky) The Service Provider may terminate this Agreement at any time without cause by providing 24-hour notice to the Client. 5,Termination with Unilateral Notice (Risky) The Service Provider may terminate this Agreement at any time without cause by providing 24-hour notice to the Client. 5,non-risky,99.46,0
6,"Excessive Liability Waiver (Risky) The Client agrees to waive any and all claims against the Service Provider, regardless of the cause or extent of damages. 6","Excessive Liability Waiver (Risky) The Client agrees to waive any and all claims against the Service Provider, regardless of the cause or extent of damages. 6",risky,98.56,1
7,No Right to Sue (Risky) The Client agrees not to initiate or join any legal action against the Service Provider under any circumstance. 7,No Right to Sue (Risky) The Client agrees not to initiate or join any legal action against the Service Provider under any circumstance. 7,non-risky,93.72,0
8,Non-compete for 5 Years (Risky) The Client shall not engage in any competing business for a period of five (5) years post-termination within any jurisdiction. 8,Non-compete for 5 Years (Risky) The Client shall not engage in any competing business for a period of five (5) years post-termination within any jurisdiction. 8,non-risky,99.58,0
9,Arbitrary Jurisdiction (Risky) Any dispute shall be resolved exclusively in the courts of a jurisdiction selected solely by the Service Provider. 9,Arbitrary Jurisdiction (Risky) Any dispute shall be resolved exclusively in the courts of a jurisdiction selected solely by the Service Provider. 9,non-risky,99.54,0
10,Data Sharing Without Consent (Risky) The Service Provider reserves the right to share Client data with third parties without additional notice or consent. 10,Data Sharing Without Consent (Risky) The Service Provider reserves the right to share Client data with third parties without additional notice or consent. 10,non-risky,99.52,0
11,"No Refund Under Any Condition (Risky) All fees are non-refundable under any circumstances, including service dissatisfaction or technical failures. 11","No Refund Under Any Condition (Risky) All fees are non-refundable under any circumstances, including service dissatisfaction or technical failures. 11",non-risky,99.18,0
12,"Auto-Renewal Without Consent (Risky) This Agreement will automatically renew every 12 months unless canceled by the Service Provider, with or without Client’s consent.","Auto-Renewal Without Consent (Risky) This Agreement will automatically renew every 12 months unless canceled by the Service Provider, with or without Client’s consent.",non-risky,99.57,0
